id,genre,taille,age,masse,tour_hanche,tour_taille,tour_poignet
15_02,h,1.85,51,96.5,0.95,0.92,0.18
15_03,h,1.82,18,80.5,0.87,0.84,0.17
15_04,h,1.75,24,75,0.86,0.85,0.16
15_05,h,1.79,46,83,0.92,0.9,0.18
15_06,f,1.63,19,56.5,0.86,0.78,0.15
15_07,f,1.61,55,60.5,0.85,0.81,0.15
15_08,f,1.79,48,66,0.88,0.82,0.16
06_01,h,1.92,18,80.5,0.95,0.9,0.18
06_02,f,1.64,67,60,0.88,0.82,0.17
06_03,h,1.88,19,91,0.95,0.88,0.18
06_04,h,1.85,27,82.5,0.96,0.92,0.2
06_05,f,1.72,52,58,0.86,0.75,0.16
70_01,h,1.79,19,102,1.21,1.07,0.19
70_02,f,1.71,44,101.5,1.27,1.1,0.17
70_03,h,1.95,59,101.5,1.14,1.07,0.2
70_04,f,1.55,83,53,0.91,0.81,0.15
70_05,h,1.9,53,120,1.12,1.02,0.25
70_06,h,1.85,83,73,1,0.87,0.2
07_01,h,1.78,19,80,0.85,0.86,0.168
07_02,f,1.67,35,70.5,0.81,0.73,0.154
07_03,f,1.71,38,85.5,0.95,0.88,0.16
07_04,h,1.84,45,95,0.9,0.8,0.166
07_05,f,1.64,22,68,0.67,0.52,0.13
04_01,f,1.66,22,53,0.89,0.66,0.151
04_02,h,1.86,54,85,1.03,1.02,0.186
04_03,h,1.68,19,86.5,1,0.99,0.181
04_04,f,1.6,48,62,0.89,0.82,0.171
04_05,h,1.74,20,76,0.88,0.8,0.18
42_07,f,1.57,23,52,0.89,0.8,0.15
35_01,h,1.6,19,53,0.7,0.6,0.17
35_05,f,1.6,19,62,1.02,0.8,0.155
51_01,h,1.71,60,80,1.1,1.1,0.18
51_02,f,1.57,55,58,1.05,0.93,0.15
51_03,h,1.72,22,62,0.97,0.79,0.17
51_04,f,1.58,21,60,0.97,0.81,0.16
51_05,f,1.62,21,51,0.87,0.72,0.15
13_01,h,1.88,19,63.5,0.84,0.74,0.155
13_02,h,1.83,19,112.5,1.09,1.16,0.198
